test push
//========================================
Theta Lambda Entropy UtilMaxVariance UtilTimeAvgVariance
0.600000 6 3.786572 0.032821 0.000022
0.650000 6 3.677947 0.032481 0.000022
0.700000 6 3.476794 0.032444 0.000025
0.750000 6 3.238208 0.033172 0.000025
0.800000 6 3.109442 0.032937 0.000024
0.850000 6 2.975173 0.034668 0.000025
0.900000 6 2.596000 0.034741 0.000026
0.950000 6 2.372698 0.036208 0.000026
0.000000 11 -2.000000 0.002809 0.000002
0.050000 11 4.458700 0.005793 0.000004
0.100000 11 4.380781 0.009364 0.000006
0.150000 11 4.152914 0.011351 0.000007
0.200000 11 3.869055 0.012903 0.000009
0.250000 11 3.587017 0.015250 0.000012
0.300000 11 3.532845 0.017556 0.000013
0.350000 11 3.620129 0.020906 0.000013
0.400000 11 3.447192 0.025082 0.000016
0.450000 11 3.428860 0.026743 0.000018
0.500000 11 3.625739 0.028333 0.000018
0.550000 11 3.488164 0.031246 0.000021
0.600000 11 3.434660 0.031428 0.000022
0.650000 11 3.530002 0.033437 0.000023
0.700000 11 3.367561 0.033487 0.000024
0.750000 11 3.370243 0.033066 0.000025
0.800000 11 3.196062 0.033876 0.000025
0.850000 11 2.974930 0.035331 0.000025
0.900000 11 2.920467 0.036441 0.000023
0.950000 11 2.328960 0.036308 0.000026
0.000000 16 -2.000000 0.001573 0.000001
0.050000 16 4.400879 0.003846 0.000003
0.100000 16 4.377712 0.006632 0.000005
0.150000 16 4.186415 0.009333 0.000007
0.200000 16 3.930565 0.011148 0.000009
0.250000 16 3.587523 0.013388 0.000011
0.300000 16 3.338659 0.015900 0.000012
0.350000 16 3.330921 0.019173 0.000014
0.400000 16 3.287705 0.021746 0.000016
0.450000 16 3.199988 0.024423 0.000017
0.500000 16 3.245277 0.027202 0.000018
0.550000 16 3.330422 0.029130 0.000020
0.600000 16 3.314043 0.031618 0.000021
0.650000 16 3.309815 0.031111 0.000022
0.700000 16 3.231093 0.033404 0.000024
0.750000 16 3.105413 0.033497 0.000025
0.800000 16 3.216207 0.033706 0.000025
0.850000 16 2.970450 0.033406 0.000025
0.900000 16 2.768085 0.035383 0.000026
0.950000 16 2.382592 0.036181 0.000026
0.000000 21 -2.000000 0.000940 0.000001
0.050000 21 4.381019 0.002948 0.000003
0.100000 21 4.299237 0.005836 0.000004
0.150000 21 4.189826 0.009013 0.000006
0.200000 21 3.933156 0.010259 0.000008
0.250000 21 3.620635 0.012100 0.000010
0.300000 21 3.193410 0.014206 0.000012
0.350000 21 3.113092 0.017321 0.000013
0.400000 21 3.063713 0.019596 0.000015
0.450000 21 3.089147 0.022225 0.000016
0.500000 21 3.098424 0.025740 0.000018
0.550000 21 3.331577 0.028365 0.000017
0.600000 21 3.215076 0.029800 0.000020
0.650000 21 3.144688 0.030858 0.000021
0.700000 21 3.145216 0.032069 0.000022
0.750000 21 3.129269 0.033491 0.000024
0.800000 21 3.060840 0.033593 0.000025
0.850000 21 2.980565 0.034198 0.000025
0.900000 21 2.764654 0.035512 0.000026
0.950000 21 2.325346 0.036326 0.000026
0.000000 26 -2.000000 0.000763 0.000001
0.050000 26 4.382288 0.002412 0.000002
0.100000 26 4.322879 0.004691 0.000004
0.150000 26 4.163418 0.008087 0.000006
0.200000 26 3.994054 0.009225 0.000007
0.250000 26 3.610200 0.011419 0.000009
0.300000 26 3.189434 0.013752 0.000011
0.350000 26 2.952959 0.015856 0.000013
0.400000 26 3.008784 0.018961 0.000014
0.450000 26 2.977712 0.022623 0.000016
0.500000 26 3.029896 0.024596 0.000018
0.550000 26 2.984285 0.027620 0.000019
0.600000 26 3.004612 0.028905 0.000020
0.650000 26 2.977045 0.030858 0.000021
0.700000 26 3.043454 0.031571 0.000022
0.750000 26 3.110095 0.033175 0.000023
0.800000 26 3.020696 0.034392 0.000025
0.850000 26 2.988767 0.034133 0.000026
0.900000 26 2.744062 0.035474 0.000026
0.950000 26 2.324559 0.036241 0.000026
0.000000 31 -2.000000 0.000541 0.000000
0.050000 31 4.382653 0.002200 0.000002
0.100000 31 4.294479 0.004433 0.000004
0.150000 31 4.179472 0.007542 0.000005
0.200000 31 3.959850 0.008822 0.000007
0.250000 31 3.636526 0.010933 0.000009
0.300000 31 3.244693 0.012841 0.000010
0.350000 31 2.947254 0.015756 0.000013
0.400000 31 2.893999 0.018006 0.000014
0.450000 31 2.925402 0.021206 0.000016
0.500000 31 2.839374 0.023891 0.000017
0.550000 31 2.994221 0.027436 0.000018
0.600000 31 2.954053 0.029309 0.000020
0.650000 31 2.990697 0.030916 0.000021
0.700000 31 2.972716 0.031262 0.000022
0.750000 31 3.132468 0.033440 0.000023
0.800000 31 3.031075 0.034322 0.000024
0.850000 31 3.012148 0.034132 0.000026
0.900000 31 2.759347 0.035048 0.000026
0.950000 31 2.350602 0.035284 0.000026
0.000000 36 -2.000000 0.000442 0.000000
0.050000 36 4.383244 0.001926 0.000002
0.100000 36 4.261302 0.004151 0.000004
0.150000 36 4.131612 0.007069 0.000005
0.200000 36 3.972045 0.008839 0.000007
0.250000 36 3.634846 0.010208 0.000009
0.300000 36 3.208732 0.012484 0.000010
0.350000 36 2.864673 0.015050 0.000012
0.400000 36 2.829111 0.017284 0.000014
0.450000 36 2.884031 0.020037 0.000016
0.500000 36 2.947266 0.023059 0.000017
0.550000 36 2.880629 0.026629 0.000018
0.600000 36 2.819198 0.028356 0.000019
0.650000 36 2.918502 0.030347 0.000020
0.700000 36 2.908914 0.031558 0.000022
0.750000 36 2.884821 0.032659 0.000023
0.800000 36 2.907627 0.034070 0.000024
0.850000 36 2.928651 0.034931 0.000025
0.900000 36 2.696508 0.034265 0.000025
0.950000 36 2.385127 0.035735 0.000026
0.000000 41 -2.000000 0.000333 0.000000
0.050000 41 4.315534 0.001906 0.000002
0.100000 41 4.243026 0.003701 0.000003
0.150000 41 4.089409 0.006521 0.000005
0.200000 41 3.930419 0.008531 0.000007
0.250000 41 3.686536 0.010262 0.000008
0.300000 41 3.179995 0.012416 0.000010
0.350000 41 2.736649 0.014816 0.000012
0.400000 41 2.846412 0.017894 0.000014
0.450000 41 2.834043 0.019805 0.000015
0.500000 41 2.795580 0.022852 0.000017
0.550000 41 2.806857 0.026914 0.000018
0.600000 41 2.870043 0.028527 0.000019
0.650000 41 2.856354 0.029925 0.000020
0.700000 41 2.759141 0.031000 0.000022
0.750000 41 2.912221 0.031833 0.000022
0.800000 41 2.916426 0.033942 0.000024
0.850000 41 2.888627 0.035619 0.000024
0.900000 41 2.714929 0.034158 0.000025
0.950000 41 2.514747 0.036634 0.000027
0.000000 46 -2.000000 0.000273 0.000000
0.050000 46 4.364040 0.001614 0.000002
0.100000 46 4.264991 0.003611 0.000003
0.150000 46 4.127520 0.006706 0.000005
0.200000 46 3.940590 0.008112 0.000007
0.250000 46 3.633670 0.010187 0.000008
0.300000 46 3.273279 0.011616 0.000010
0.350000 46 2.756458 0.014418 0.000012
0.400000 46 2.779765 0.016828 0.000013
0.450000 46 2.785898 0.019587 0.000015
0.500000 46 2.817293 0.022505 0.000017
0.550000 46 2.819726 0.025023 0.000018
0.600000 46 2.817389 0.027993 0.000019
0.650000 46 2.790152 0.029584 0.000020
0.700000 46 2.837240 0.031258 0.000022
0.750000 46 2.851689 0.031521 0.000023
0.800000 46 2.807005 0.033531 0.000024
0.850000 46 2.980376 0.035216 0.000025
0.900000 46 2.748817 0.034449 0.000026
0.950000 46 2.409612 0.036309 0.000027
0.000000 51 -2.000000 0.000200 0.000000
0.050000 51 4.360814 0.001482 0.000002
0.100000 51 4.237114 0.003459 0.000003
0.150000 51 4.074002 0.006299 0.000005
0.200000 51 3.940545 0.008103 0.000006
0.250000 51 3.686935 0.009430 0.000008
0.300000 51 3.317949 0.011329 0.000010
0.350000 51 2.745764 0.014066 0.000012
0.400000 51 2.726347 0.017195 0.000013
0.450000 51 2.749319 0.019537 0.000015
0.500000 51 2.767683 0.022616 0.000016
0.550000 51 2.757977 0.024821 0.000018
0.600000 51 2.774755 0.027289 0.000019
0.650000 51 2.820815 0.029368 0.000020
0.700000 51 2.825960 0.030759 0.000021
0.750000 51 2.774278 0.032125 0.000023
0.800000 51 2.843249 0.033478 0.000024
0.850000 51 2.851734 0.034859 0.000024
0.900000 51 2.889931 0.035743 0.000025
0.950000 51 2.405434 0.036498 0.000027

// change utilization variance of port to variance of switch

0.000000 5 -2.000000 0.000524 0.000000
0.050000 5 3.954580 0.000799 0.000001
0.100000 5 3.930863 0.001308 0.000001
0.150000 5 3.844499 0.001805 0.000001
0.200000 5 3.692109 0.002328 0.000001
0.250000 5 3.736515 0.003074 0.000001
0.300000 5 3.984687 0.003433 0.000002
0.350000 5 3.945082 0.003790 0.000002
0.400000 5 3.873325 0.003845 0.000002
0.450000 5 3.873032 0.004020 0.000002
0.500000 5 3.759300 0.004103 0.000003
0.550000 5 3.825537 0.004256 0.000003
0.600000 5 3.783565 0.004224 0.000003
0.650000 5 3.645925 0.004243 0.000003
0.700000 5 3.480449 0.004139 0.000003
0.750000 5 3.443246 0.004228 0.000003
0.800000 5 2.975631 0.004368 0.000003
0.850000 5 3.137557 0.004481 0.000003
0.900000 5 2.670511 0.004602 0.000003
0.950000 5 2.371486 0.004621 0.000003
0.000000 6 -2.000000 0.000444 0.000000
0.050000 6 4.218383 0.000994 0.000001
0.100000 6 4.137487 0.001286 0.000001
0.150000 6 3.843986 0.001682 0.000001
0.200000 6 3.738163 0.002208 0.000001
0.250000 6 3.919340 0.002841 0.000002
0.300000 6 3.840665 0.003392 0.000002
0.350000 6 3.849935 0.003483 0.000002
0.400000 6 3.826123 0.003747 0.000002
0.450000 6 3.819057 0.004021 0.000002
0.500000 6 3.858529 0.004141 0.000002
0.550000 6 3.801895 0.004215 0.000003
0.600000 6 3.786572 0.004308 0.000003
0.650000 6 3.677947 0.004232 0.000003
0.700000 6 3.476794 0.004157 0.000003
0.750000 6 3.238208 0.004225 0.000003
0.800000 6 3.109442 0.004193 0.000003
0.850000 6 2.975173 0.004460 0.000003
0.900000 6 2.596000 0.004394 0.000003
0.950000 6 2.372698 0.004661 0.000003
0.000000 7 -2.000000 0.000198 0.000000
0.050000 7 4.457657 0.000840 0.000001
0.100000 7 4.270634 0.001134 0.000001
0.150000 7 4.003888 0.001547 0.000001
0.200000 7 3.882652 0.002087 0.000001
0.250000 7 3.786940 0.002569 0.000001
0.300000 7 3.797096 0.003099 0.000002
0.350000 7 3.763365 0.003437 0.000002
0.400000 7 3.775088 0.003562 0.000002
